"","gene"
"239","ENSDARG00000025391,pfdn2,7,protein_coding"
"240","ENSDARG00000005382,prdm9,12,protein_coding"
"241","ENSDARG00000003931,cndp2,19,protein_coding"
"242","ENSDARG00000024398,get4,12,protein_coding"
"243","ENSDARG00000011934,gyg1a,2,protein_coding"
"244","ENSDARG00000029928,ap3m1,13,protein_coding"
"245","ENSDARG00000034160,slc4a1ap,17,protein_coding"
"246","ENSDARG00000015902,stat6,23,protein_coding"
"247","ENSDARG00000027345,mpzl2b,5,protein_coding"
"248","ENSDARG00000003219,bin2a,23,protein_coding"
"249","ENSDARG00000042094,eef2a.1,22,protein_coding"
"250","ENSDARG00000023058,foxo3a,17,protein_coding"
"251","ENSDARG00000002298,ankrd22,12,protein_coding"
"252","ENSDARG00000033361,asl,21,protein_coding"
"253","ENSDARG00000058522,shq1,6,protein_coding"
"254","ENSDARG00000027529,hmox1a,3,protein_coding"
"255","ENSDARG00000034470,aldoab,12,protein_coding"
"256","ENSDARG00000023820,faxdc2,21,protein_coding"
"257","ENSDARG00000023498,gmppab,6,protein_coding"
"258","ENSDARG00000021539,ephb2b,11,protein_coding"
"259","ENSDARG00000007971,cks1b,19,protein_coding"
"260","ENSDARG00000033443,mdm2,4,protein_coding"
"261","ENSDARG00000004377,ppp1r13ba,17,protein_coding"
"262","ENSDARG00000010384,lpar5a,2,protein_coding"
"263","ENSDARG00000007682,ppdpfa,8,protein_coding"
"264","ENSDARG00000030665,TCERG1,,"
"265","ENSDARG00000041060,zgc:92326,15,protein_coding"
"266","ENSDARG00000044613,c1qa,21,protein_coding"
"267","ENSDARG00000037894,ezh1,3,protein_coding"
"268","ENSDARG00000021120,ndc1,2,protein_coding"
"269","ENSDARG00000016255,chmp4ba,6,protein_coding"
"270","ENSDARG00000026680,slc25a14,21,protein_coding"
"271","ENSDARG00000027154,tpd52l2a,8,protein_coding"
"272","ENSDARG00000031776,zgc:92066,3,protein_coding"
"273","ENSDARG00000036848,slc43a2a,15,protein_coding"
"274","ENSDARG00000026726,anxa1a,5,protein_coding"
"275","ENSDARG00000020235,sept9a,3,protein_coding"
"276","ENSDARG00000017086,asb12a,5,protein_coding"
"277","ENSDARG00000008142,stxbp3,23,protein_coding"
"278","ENSDARG00000014588,adcy2b,19,protein_coding"
"279","ENSDARG00000024815,ogfrl2,11,protein_coding"
"280","ENSDARG00000032704,qrsl1,17,protein_coding"
"281","ENSDARG00000032849,ndrg1a,19,protein_coding"
"282","ENSDARG00000031548,ephb3a,2,protein_coding"
"283","ENSDARG00000027461,C3H16orf13,3,protein_coding"
"284","ENSDARG00000044902,atp2b4,11,protein_coding"
"285","ENSDARG00000006514,her6,6,protein_coding"
"286","ENSDARG00000016526,gata3,4,protein_coding"
"287","ENSDARG00000028067,bnip3lb,10,protein_coding"
"288","ENSDARG00000034541,tgfbr2,16,protein_coding"
"289","ENSDARG00000024631,NLRC5,18,protein_coding"
"290","ENSDARG00000028389,rab44,6,protein_coding"
